review_id,week,week_start_date,review_date,market,platform,brand,flavor,star_rating,review_text,helpful_votes,verified_purchase,is_anomaly_week,anomaly_type
R0000060,2024-W49,2024-12-04,2024-12-08,US,Walmart,Lay's,Classic Salted,4,Really good chip. Lay's Classic Salted delivers on flavor. A few got crushed in shipping.,7,True,False,
R0000061,2024-W49,2024-12-04,2024-12-10,US,Walmart,Lay's,Spanish Tomato Tango,4,Really good chip. Lay's Spanish Tomato Tango delivers on flavor. A few got crushed in shipping.,156,True,False,
R0000062,2024-W49,2024-12-04,2024-12-08,US,Walmart,Lay's,Baked,5,"My go-to for years. Lay's Baked always fresh, always delicious.",3,False,False,
R0000063,2024-W49,2024-12-04,2024-12-04,US,Walmart,Lay's,Max Peri Peri,4,Good as always. Lay's Max Peri Peri consistent quality. Wish bags were fuller.,5,True,False,
R0000064,2024-W49,2024-12-04,2024-12-05,US,Walmart,Lay's,Wafer Style,4,Really good chip. Lay's Wafer Style delivers on flavor. A few got crushed in shipping.,5,True,False,
R0000065,2024-W49,2024-12-04,2024-12-05,US,Amazon US,Lay's,American Style Cream & Onion,3,Average chip. Lay's American Style Cream & Onion used to taste better.,4,True,False,
R0000066,2024-W49,2024-12-04,2024-12-07,US,Amazon US,Lay's,Max Peri Peri,4,Good as always. Lay's Max Peri Peri consistent quality. Wish bags were fuller.,1,True,False,
R0000067,2024-W49,2024-12-04,2024-12-09,US,Amazon US,Lay's,Wafer Style,4,Good as always. Lay's Wafer Style consistent quality. Wish bags were fuller.,1,False,False,
R0000068,2024-W49,2024-12-04,2024-12-10,US,Walmart,Pringles,Sour Cream & Onion,5,"Pringles Sour Cream & Onion never fails. Perfect crunch, great flavor.",4,False,False,
R0000069,2024-W49,2024-12-04,2024-12-07,US,Walmart,Pringles,Sour Cream & Onion,5,Once you pop you can't stop — Sour Cream & Onion is my all-time fave Pringles!,6,False,False,
R0000070,2024-W49,2024-12-04,2024-12-08,US,Amazon US,Pringles,Original,5,Once you pop you can't stop — Original is my all-time fave Pringles!,3,True,False,
R0000071,2024-W49,2024-12-04,2024-12-09,US,Walmart,Pringles,Original,5,"Pringles Original never fails. Perfect crunch, great flavor.",3,True,False,
R0000072,2024-W49,2024-12-04,2024-12-05,US,Walmart,Pringles,BBQ,4,Good chip. Pringles BBQ has solid flavor. Canister makes it easy to share.,13,True,False,
R0000073,2024-W49,2024-12-04,2024-12-04,US,Amazon US,Pringles,Sour Cream & Onion,4,Good chip. Pringles Sour Cream & Onion has solid flavor. Canister makes it easy to share.,3,True,False,
R0000074,2024-W49,2024-12-04,2024-12-09,US,Walmart,Pringles,BBQ,5,Once you pop you can't stop — BBQ is my all-time fave Pringles!,1,True,False,
R0000075,2024-W49,2024-12-04,2024-12-07,US,Amazon US,Pringles,Pizza,5,"Pringles Pizza never fails. Perfect crunch, great flavor.",12,True,False,
R0000076,2024-W49,2024-12-04,2024-12-08,US,Amazon US,Pringles,Sour Cream & Onion,3,Pringles Sour Cream & Onion is fine. Nothing special at this price point.,22,True,False,
R0000077,2024-W49,2024-12-04,2024-12-09,US,Walmart,Pringles,BBQ,5,"Pringles BBQ never fails. Perfect crunch, great flavor.",11,False,False,
R0000078,2024-W49,2024-12-04,2024-12-10,US,Amazon US,Pringles,Sour Cream & Onion,4,Good chip. Pringles Sour Cream & Onion has solid flavor. Canister makes it easy to share.,3,True,False,
R0000079,2024-W49,2024-12-04,2024-12-06,US,Walmart,Pringles,BBQ,4,Good chip. Pringles BBQ has solid flavor. Canister makes it easy to share.,5,True,False,
R0000080,2024-W49,2024-12-04,2024-12-04,US,Amazon US,Doritos,Sweet Chili,5,"Doritos Sweet Chili is the perfect snack. Bold flavor, great crunch.",3,True,False,
R0000081,2024-W49,2024-12-04,2024-12-09,US,Amazon US,Doritos,Sweet Chili,4,Doritos Sweet Chili solid as always. Maybe slightly too salty but still great.,10,False,False,
R0000082,2024-W49,2024-12-04,2024-12-10,US,Walmart,Doritos,Spicy Nacho,4,Doritos Spicy Nacho solid as always. Maybe slightly too salty but still great.,25,True,False,
R0000083,2024-W49,2024-12-04,2024-12-10,US,Amazon US,Doritos,Nacho Cheese,4,Doritos Nacho Cheese solid as always. Maybe slightly too salty but still great.,9,False,False,
R0000084,2024-W49,2024-12-04,2024-12-07,US,Walmart,Doritos,Nacho Cheese,1,Won't buy Doritos Nacho Cheese again after that influencer scandal. Done.,5,True,False,
R0000085,2024-W49,2024-12-04,2024-12-08,US,Walmart,Doritos,Nacho Cheese,5,"Doritos Nacho Cheese is the perfect snack. Bold flavor, great crunch.",6,True,False,
R0000086,2024-W49,2024-12-04,2024-12-05,US,Amazon US,Doritos,Cool Ranch,4,Doritos Cool Ranch solid as always. Maybe slightly too salty but still great.,9,True,False,
R0000087,2024-W49,2024-12-04,2024-12-04,US,Amazon US,Doritos,Nacho Cheese,4,Doritos Nacho Cheese solid as always. Maybe slightly too salty but still great.,53,True,False,
R0000088,2024-W49,2024-12-04,2024-12-08,US,Walmart,Doritos,Sweet Chili,5,Doritos Sweet Chili with salsa is a religious experience 🌮,15,True,False,
R0000089,2024-W49,2024-12-04,2024-12-08,US,Walmart,Doritos,Nacho Cheese,5,"Doritos Nacho Cheese is the perfect snack. Bold flavor, great crunch.",1,True,False,
R0000090,2024-W50,2024-12-11,2024-12-12,India,Amazon India,Lay's,Baked,5,Lay's Baked is literally the best chips in India. Paise vasool!,4,True,False,
R0000091,2024-W50,2024-12-11,2024-12-17,India,Flipkart,Lay's,American Style Cream & Onion,4,Good product. Lay's American Style Cream & Onion fresh tha. Packaging thoda improve ho sakta hai.,5,True,False,
R0000092,2024-W50,2024-12-11,2024-12-14,India,Flipkart,Lay's,Herb & Onion,5,Lay's Herb & Onion is literally the best chips in India. Paise vasool!,3,True,False,
R0000093,2024-W50,2024-12-11,2024-12-15,India,Flipkart,Lay's,Max Peri Peri,1,Zero quality control. Lay's Max Peri Peri stale. Smell bhi ajeeb tha. AVOID!,12,False,False,
R0000094,2024-W50,2024-12-11,2024-12-12,India,Amazon India,Lay's,Herb & Onion,2,Packet mein chips tootey hue the. Lay's Herb & Onion packaging weak hai.,5,False,False,
R0000095,2024-W50,2024-12-11,2024-12-13,India,Amazon India,Lay's,Max Peri Peri,5,Lay's Max Peri Peri is literally the best chips in India. Paise vasool!,15,True,False,
R0000096,2024-W50,2024-12-11,2024-12-12,India,Amazon India,Lay's,Magic Masala,4,Good product. Lay's Magic Masala fresh tha. Packaging thoda improve ho sakta hai.,17,False,False,
R0000097,2024-W50,2024-12-11,2024-12-11,India,Amazon India,Lay's,Wafer Style,5,Superb quality! Lay's Wafer Style consistent rehta hai. Highly recommend!,13,True,False,
R0000098,2024-W50,2024-12-11,2024-12-16,India,Amazon India,Lay's,Max Peri Peri,5,Superb quality! Lay's Max Peri Peri consistent rehta hai. Highly recommend!,0,True,False,
R0000099,2024-W50,2024-12-11,2024-12-13,India,Amazon India,Lay's,Classic Salted,5,Ekdum mast hai Lay's Classic Salted! Fresh aur crunchy. Family favorite 😄,15,True,False,
R0000100,2024-W50,2024-12-11,2024-12-12,India,Flipkart,Lay's,American Style Cream & Onion,5,Lay's American Style Cream & Onion is literally the best chips in India. Paise vasool!,5,True,False,
R0000101,2024-W50,2024-12-11,2024-12-11,India,Amazon India,Lay's,American Style Cream & Onion,4,Lay's American Style Cream & Onion achha hai but quantity thodi kam hai packet mein. Taste great though.,1,True,False,
R0000102,2024-W50,2024-12-11,2024-12-14,India,Amazon India,Lay's,Chile Limon,4,Lay's Chile Limon achha hai but quantity thodi kam hai packet mein. Taste great though.,8,True,False,
R0000103,2024-W50,2024-12-11,2024-12-17,India,Flipkart,Lay's,Spanish Tomato Tango,1,DISGUSTING! Lay's Spanish Tomato Tango mein kuch aisa mila jo chips nahi tha. @Lays jawab do!!,6,True,False,
R0000104,2024-W50,2024-12-11,2024-12-16,India,Amazon India,Lay's,Spanish Tomato Tango,4,Good product. Lay's Spanish Tomato Tango fresh tha. Packaging thoda improve ho sakta hai.,2,True,False,
R0000105,2024-W50,2024-12-11,2024-12-12,India,Amazon India,Lay's,Classic Salted,5,Ekdum mast hai Lay's Classic Salted! Fresh aur crunchy. Family favorite 😄,5,True,False,
R0000106,2024-W50,2024-12-11,2024-12-11,India,Amazon India,Lay's,Classic Salted,3,Average. Lay's Classic Salted pehle zyada achha lagta tha.,21,True,False,
R0000107,2024-W50,2024-12-11,2024-12-13,India,Flipkart,Lay's,Magic Masala,3,Theek hai Lay's Magic Masala. Expected better from such a big brand.,19,True,False,
R0000108,2024-W50,2024-12-11,2024-12-14,India,Flipkart,Lay's,American Style Cream & Onion,5,Superb quality! Lay's American Style Cream & Onion consistent rehta hai. Highly recommend!,6,True,False,
R0000109,2024-W50,2024-12-11,2024-12-17,India,Amazon India,Lay's,Max Peri Peri,4,Lay's Max Peri Peri achha hai but quantity thodi kam hai packet mein. Taste great though.,8,True,False,
R0000110,2024-W50,2024-12-11,2024-12-16,India,Amazon India,Lay's,Max Peri Peri,4,Good product. Lay's Max Peri Peri fresh tha. Packaging thoda improve ho sakta hai.,6,True,False,
R0000111,2024-W50,2024-12-11,2024-12-12,India,Flipkart,Lay's,Wafer Style,2,Packet mein chips tootey hue the. Lay's Wafer Style packaging weak hai.,0,True,False,
R0000112,2024-W50,2024-12-11,2024-12-17,India,Flipkart,Lay's,Herb & Onion,4,Lay's Herb & Onion achha hai but quantity thodi kam hai packet mein. Taste great though.,3,True,False,
R0000113,2024-W50,2024-12-11,2024-12-11,India,Amazon India,Lay's,Wafer Style,5,Ekdum mast hai Lay's Wafer Style! Fresh aur crunchy. Family favorite 😄,83,True,False,
R0000114,2024-W50,2024-12-11,2024-12-13,India,Amazon India,Pringles,Sour Cream & Onion,5,Pringles Sour Cream & Onion — consistent quality every single time. Love it!,9,True,False,
R0000115,2024-W50,2024-12-11,2024-12-12,India,Flipkart,Pringles,Original,2,Pringles Original stale aaya. Disappointed with freshness.,25,True,False,
R0000116,2024-W50,2024-12-11,2024-12-16,India,Flipkart,Pringles,Original,1,Pringles Original mein kuch ajeeb smell tha. Waste of money.,0,True,False,
R0000117,2024-W50,2024-12-11,2024-12-13,India,Flipkart,Pringles,Cheddar Cheese,4,Pringles Cheddar Cheese good hai. Thoda expensive but worth it.,3,False,False,
R0000118,2024-W50,2024-12-11,2024-12-16,India,Amazon India,Pringles,Cheddar Cheese,5,Pringles Cheddar Cheese — consistent quality every single time. Love it!,9,True,False,
R0000119,2024-W50,2024-12-11,2024-12-12,India,Amazon India,Pringles,Sour Cream & Onion,4,Pringles Sour Cream & Onion good hai. Thoda expensive but worth it.,1,True,False,
R0000120,2024-W50,2024-12-11,2024-12-15,India,Amazon India,Pringles,Sour Cream & Onion,4,Pringles Sour Cream & Onion good hai. Thoda expensive but worth it.,9,True,False,
R0000121,2024-W50,2024-12-11,2024-12-17,India,Flipkart,Pringles,Cheddar Cheese,3,Pringles Cheddar Cheese theek hai. Lay's se thoda zyada price ke liye expected better.,2,True,False,
R0000122,2024-W50,2024-12-11,2024-12-12,India,Flipkart,Pringles,Cheddar Cheese,5,Pringles Cheddar Cheese — consistent quality every single time. Love it!,2,True,False,
R0000123,2024-W50,2024-12-11,2024-12-13,India,Flipkart,Pringles,Pizza,5,Pringles Pizza ekdum fresh! Canister packaging is the best 👌,7,True,False,
R0000124,2024-W50,2024-12-11,2024-12-16,India,Amazon India,Pringles,Sour Cream & Onion,5,Pringles Sour Cream & Onion ekdum fresh! Canister packaging is the best 👌,11,True,False,
R0000125,2024-W50,2024-12-11,2024-12-11,India,Amazon India,Doritos,Flamin Hot,5,Doritos Flamin Hot is fire! Perfect for gaming nights 🎮🔥,2,True,False,
R0000126,2024-W50,2024-12-11,2024-12-14,India,Flipkart,Doritos,Spicy Nacho,4,Doritos Spicy Nacho good hai. Thoda zyada spicy but I liked it.,4,True,False,
R0000127,2024-W50,2024-12-11,2024-12-13,India,Amazon India,Doritos,Flamin Hot,5,Doritos Flamin Hot ka taste India mein bhi utna hi amazing hai!,16,True,False,
R0000128,2024-W50,2024-12-11,2024-12-11,India,Flipkart,Doritos,Nacho Cheese,4,Doritos Nacho Cheese good hai. Thoda zyada spicy but I liked it.,0,True,False,
R0000129,2024-W50,2024-12-11,2024-12-12,India,Amazon India,Doritos,Flamin Hot,4,Doritos Flamin Hot good hai. Thoda zyada spicy but I liked it.,3,True,False,
R0000130,2024-W50,2024-12-11,2024-12-14,India,Flipkart,Doritos,Nacho Cheese,5,Doritos Nacho Cheese is fire! Perfect for gaming nights 🎮🔥,5,True,False,
R0000131,2024-W50,2024-12-11,2024-12-15,India,Flipkart,Doritos,Spicy Nacho,5,Doritos Spicy Nacho ka taste India mein bhi utna hi amazing hai!,4,True,False,
R0000132,2024-W50,2024-12-11,2024-12-17,India,Amazon India,Doritos,Nacho Cheese,5,Doritos Nacho Cheese ka taste India mein bhi utna hi amazing hai!,0,True,False,
R0000133,2024-W50,2024-12-11,2024-12-11,India,Amazon India,Doritos,Sweet Chili,4,Doritos Sweet Chili good hai. Thoda zyada spicy but I liked it.,4,True,False,
R0000134,2024-W50,2024-12-11,2024-12-11,US,Amazon US,Lay's,American Style Cream & Onion,5,Bought for the Super Bowl party — gone in 20 mins. Lay's American Style Cream & Onion always wins!,1,False,False,
R0000135,2024-W50,2024-12-11,2024-12-15,US,Amazon US,Lay's,Wafer Style,5,Bought for the Super Bowl party — gone in 20 mins. Lay's Wafer Style always wins!,22,True,False,
R0000136,2024-W50,2024-12-11,2024-12-14,US,Walmart,Lay's,Wafer Style,4,Really good chip. Lay's Wafer Style delivers on flavor. A few got crushed in shipping.,29,True,False,
R0000137,2024-W50,2024-12-11,2024-12-13,US,Amazon US,Lay's,Max Peri Peri,4,Really good chip. Lay's Max Peri Peri delivers on flavor. A few got crushed in shipping.,5,True,False,
R0000138,2024-W50,2024-12-11,2024-12-15,US,Amazon US,Lay's,Max Peri Peri,4,Good as always. Lay's Max Peri Peri consistent quality. Wish bags were fuller.,8,True,False,
R0000139,2024-W50,2024-12-11,2024-12-11,US,Walmart,Lay's,Chile Limon,2,Half the bag was crushed. Lay's Chile Limon packaging terrible for shipping.,9,True,False,
R0000140,2024-W50,2024-12-11,2024-12-14,US,Walmart,Lay's,Chile Limon,4,Good as always. Lay's Chile Limon consistent quality. Wish bags were fuller.,9,True,False,
R0000141,2024-W50,2024-12-11,2024-12-12,US,Amazon US,Lay's,Classic Salted,5,"My go-to for years. Lay's Classic Salted always fresh, always delicious.",2,False,False,
R0000142,2024-W50,2024-12-11,2024-12-11,US,Walmart,Lay's,Baked,2,Lay's Baked arrived stale despite expiry being months away. Disappointed.,7,True,False,
R0000143,2024-W50,2024-12-11,2024-12-15,US,Walmart,Lay's,Baked,3,Lay's Baked is decent but I've had better. Nothing special.,8,True,False,
R0000144,2024-W50,2024-12-11,2024-12-16,US,Amazon US,Lay's,Chile Limon,5,Lay's Chile Limon is consistently the best chip out there. Never disappoints.,7,True,False,
R0000145,2024-W50,2024-12-11,2024-12-11,US,Amazon US,Lay's,Max Peri Peri,2,Half the bag was crushed. Lay's Max Peri Peri packaging terrible for shipping.,2,True,False,
R0000146,2024-W50,2024-12-11,2024-12-17,US,Amazon US,Lay's,American Style Cream & Onion,5,"My go-to for years. Lay's American Style Cream & Onion always fresh, always delicious.",1,True,False,
R0000147,2024-W50,2024-12-11,2024-12-17,US,Walmart,Lay's,Chile Limon,5,"My go-to for years. Lay's Chile Limon always fresh, always delicious.",4,True,False,
R0000148,2024-W50,2024-12-11,2024-12-13,US,Amazon US,Lay's,Max Peri Peri,5,Lay's Max Peri Peri is consistently the best chip out there. Never disappoints.,1,True,False,
R0000149,2024-W50,2024-12-11,2024-12-15,US,Walmart,Lay's,Classic Salted,4,Good as always. Lay's Classic Salted consistent quality. Wish bags were fuller.,2,True,False,
R0000150,2024-W50,2024-12-11,2024-12-14,US,Amazon US,Lay's,Chile Limon,4,Really good chip. Lay's Chile Limon delivers on flavor. A few got crushed in shipping.,10,True,False,
R0000151,2024-W50,2024-12-11,2024-12-14,US,Walmart,Lay's,Max Peri Peri,5,Lay's Max Peri Peri is consistently the best chip out there. Never disappoints.,22,True,False,
R0000152,2024-W50,2024-12-11,2024-12-17,US,Walmart,Lay's,Baked,5,"My go-to for years. Lay's Baked always fresh, always delicious.",17,True,False,
R0000153,2024-W50,2024-12-11,2024-12-14,US,Amazon US,Lay's,Chile Limon,4,Really good chip. Lay's Chile Limon delivers on flavor. A few got crushed in shipping.,2,True,False,
R0000154,2024-W50,2024-12-11,2024-12-11,US,Amazon US,Lay's,Herb & Onion,5,Bought for the Super Bowl party — gone in 20 mins. Lay's Herb & Onion always wins!,3,True,False,
R0000155,2024-W50,2024-12-11,2024-12-13,US,Walmart,Lay's,Magic Masala,3,Average chip. Lay's Magic Masala used to taste better.,3,True,False,
R0000156,2024-W50,2024-12-11,2024-12-12,US,Amazon US,Lay's,Spanish Tomato Tango,5,"My go-to for years. Lay's Spanish Tomato Tango always fresh, always delicious.",7,True,False,
R0000157,2024-W50,2024-12-11,2024-12-11,US,Amazon US,Pringles,Pizza,2,Pringles Pizza didn't taste fresh. Expected better shelf management.,2,True,False,
R0000158,2024-W50,2024-12-11,2024-12-13,US,Walmart,Pringles,Original,3,Pringles Original is fine. Nothing special at this price point.,6,True,False,
