week,week_start_date,market,brand,keyword,flavor,search_volume,relative_index,yoy_change_pct,is_anomaly_week,anomaly_type
2024-W51,2024-12-18,India,Pringles,pringles cheddar,cheddar,13347,1.213,-3.3,False,
2024-W51,2024-12-18,India,Doritos,doritos nacho cheese,nacho cheese,36625,1.263,9.1,False,
2024-W51,2024-12-18,India,Doritos,doritos cool ranch,cool ranch,21741,1.279,4.8,False,
2024-W51,2024-12-18,India,Doritos,doritos flamin hot,flamin hot,21963,1.046,-6.4,False,
2024-W51,2024-12-18,India,Doritos,doritos sweet chili,sweet chili,12531,1.044,36.5,False,
2024-W51,2024-12-18,India,Doritos,doritos controversy,controversy,1297,0.324,13.5,False,
2024-W51,2024-12-18,India,category,best chips brand india,best chips brand india,47188,0.983,16.3,False,
2024-W51,2024-12-18,India,category,healthy snacks india,healthy snacks india,83326,1.174,14.9,False,
2024-W51,2024-12-18,India,category,chips on offer today,chips on offer today,44569,1.143,1.2,False,
2024-W51,2024-12-18,India,category,snacks for ipl party,snacks for ipl party,22851,1.039,4.0,False,
2024-W51,2024-12-18,US,Lay's,lays chips,chips,78395,1.153,-3.8,False,
2024-W51,2024-12-18,US,Lay's,lays classic,classic,67651,1.23,-7.0,False,
2024-W51,2024-12-18,US,Lay's,lays sour cream onion,sour cream onion,36312,1.252,11.3,False,
2024-W51,2024-12-18,US,Lay's,lays baked,baked,26169,1.09,26.7,False,
2024-W51,2024-12-18,US,Lay's,lays chile limon,chile limon,24247,1.276,-11.9,False,
2024-W51,2024-12-18,US,Lay's,buy lays bulk,buy  bulk,18784,1.044,8.5,False,
2024-W51,2024-12-18,US,Pringles,pringles chips,chips,71123,1.147,-2.6,False,
2024-W51,2024-12-18,US,Pringles,pringles sour cream,sour cream,37647,1.107,7.1,False,
2024-W51,2024-12-18,US,Pringles,pringles original,original,32178,1.149,13.3,False,
2024-W51,2024-12-18,US,Pringles,pringles bbq,bbq,20587,0.98,9.2,False,
2024-W51,2024-12-18,US,Pringles,pringles price drop,price drop,13983,1.271,1.5,False,
2024-W51,2024-12-18,US,Doritos,doritos nacho cheese,nacho cheese,71871,1.239,8.8,False,
2024-W51,2024-12-18,US,Doritos,doritos cool ranch,cool ranch,58537,1.22,42.4,False,
2024-W51,2024-12-18,US,Doritos,doritos flamin hot,flamin hot,40364,0.961,-2.0,False,
2024-W51,2024-12-18,US,Doritos,doritos spicy nacho,spicy nacho,34892,1.126,5.5,False,
2024-W51,2024-12-18,US,Doritos,doritos controversy,controversy,3368,0.421,4.2,False,
2024-W51,2024-12-18,US,category,best chips brand,best chips brand,56157,1.08,-14.6,False,
2024-W51,2024-12-18,US,category,healthy chip snacks,healthy chip snacks,89396,1.016,-0.9,False,
2024-W51,2024-12-18,US,category,chips on sale near me,chips on sale near me,78258,1.242,15.6,False,
2024-W51,2024-12-18,US,category,super bowl snack ideas,super bowl snack ideas,51888,1.179,4.4,False,
2024-W52,2024-12-25,India,Lay's,lays chips,chips,80706,1.091,11.2,False,
2024-W52,2024-12-25,India,Lay's,lays magic masala,magic masala,51145,1.003,8.4,False,
2024-W52,2024-12-25,India,Lay's,lays classic salted,classic salted,37841,0.996,9.2,False,
2024-W52,2024-12-25,India,Lay's,lays american cream onion,american cream onion,36792,1.269,19.1,False,
2024-W52,2024-12-25,India,Lay's,lays spanish tomato tango,spanish tomato tango,26064,1.185,12.9,False,
2024-W52,2024-12-25,India,Lay's,lays max peri peri,max peri peri,20263,1.126,-3.8,False,
2024-W52,2024-12-25,India,Lay's,buy lays online,buy  online,39914,1.288,18.8,False,
2024-W52,2024-12-25,India,Lay's,lays price,price,31663,1.131,-5.1,False,
2024-W52,2024-12-25,India,Pringles,pringles chips,chips,42031,1.106,-5.4,False,
2024-W52,2024-12-25,India,Pringles,pringles original,original,21205,0.964,-5.1,False,
2024-W52,2024-12-25,India,Pringles,pringles sour cream onion,sour cream onion,23259,1.292,1.7,False,
2024-W52,2024-12-25,India,Pringles,pringles price india,price india,17113,1.07,11.8,False,
2024-W52,2024-12-25,India,Pringles,pringles cheddar,cheddar,10928,0.993,0.4,False,
2024-W52,2024-12-25,India,Doritos,doritos nacho cheese,nacho cheese,27917,0.963,27.4,False,
2024-W52,2024-12-25,India,Doritos,doritos cool ranch,cool ranch,20225,1.19,0.9,False,
2024-W52,2024-12-25,India,Doritos,doritos flamin hot,flamin hot,20324,0.968,7.1,False,
2024-W52,2024-12-25,India,Doritos,doritos sweet chili,sweet chili,15057,1.255,5.0,False,
2024-W52,2024-12-25,India,Doritos,doritos controversy,controversy,1750,0.438,14.1,False,
2024-W52,2024-12-25,India,category,best chips brand india,best chips brand india,51301,1.069,-0.4,False,
2024-W52,2024-12-25,India,category,healthy snacks india,healthy snacks india,91526,1.289,5.3,False,
2024-W52,2024-12-25,India,category,chips on offer today,chips on offer today,47799,1.226,9.9,False,
2024-W52,2024-12-25,India,category,snacks for ipl party,snacks for ipl party,27371,1.244,-3.7,False,
2024-W52,2024-12-25,US,Lay's,lays chips,chips,85110,1.252,4.6,False,
2024-W52,2024-12-25,US,Lay's,lays classic,classic,73589,1.338,10.2,False,
2024-W52,2024-12-25,US,Lay's,lays sour cream onion,sour cream onion,39028,1.346,11.6,False,
2024-W52,2024-12-25,US,Lay's,lays baked,baked,28595,1.191,8.3,False,
2024-W52,2024-12-25,US,Lay's,lays chile limon,chile limon,24726,1.301,2.7,False,
2024-W52,2024-12-25,US,Lay's,buy lays bulk,buy  bulk,22388,1.244,-30.8,False,
2024-W52,2024-12-25,US,Pringles,pringles chips,chips,79065,1.275,21.3,False,
2024-W52,2024-12-25,US,Pringles,pringles sour cream,sour cream,41817,1.23,-1.4,False,
2024-W52,2024-12-25,US,Pringles,pringles original,original,33679,1.203,9.5,False,
2024-W52,2024-12-25,US,Pringles,pringles bbq,bbq,29636,1.411,14.2,False,
2024-W52,2024-12-25,US,Pringles,pringles price drop,price drop,13072,1.188,8.6,False,
2024-W52,2024-12-25,US,Doritos,doritos nacho cheese,nacho cheese,62723,1.081,-4.3,False,
2024-W52,2024-12-25,US,Doritos,doritos cool ranch,cool ranch,66793,1.392,-2.7,False,
2024-W52,2024-12-25,US,Doritos,doritos flamin hot,flamin hot,46959,1.118,15.4,False,
2024-W52,2024-12-25,US,Doritos,doritos spicy nacho,spicy nacho,40092,1.293,7.0,False,
2024-W52,2024-12-25,US,Doritos,doritos controversy,controversy,3085,0.386,19.7,False,
2024-W52,2024-12-25,US,category,best chips brand,best chips brand,74180,1.427,-6.2,False,
2024-W52,2024-12-25,US,category,healthy chip snacks,healthy chip snacks,115208,1.309,-1.8,False,
2024-W52,2024-12-25,US,category,chips on sale near me,chips on sale near me,85742,1.361,14.9,False,
2024-W52,2024-12-25,US,category,super bowl snack ideas,super bowl snack ideas,58247,1.324,37.5,False,
2025-W00,2025-01-01,India,Lay's,lays chips,chips,82716,1.118,-6.3,False,
2025-W00,2025-01-01,India,Lay's,lays magic masala,magic masala,48058,0.942,9.1,False,
2025-W00,2025-01-01,India,Lay's,lays classic salted,classic salted,41660,1.096,12.5,False,
2025-W00,2025-01-01,India,Lay's,lays american cream onion,american cream onion,31640,1.091,-1.0,False,
2025-W00,2025-01-01,India,Lay's,lays spanish tomato tango,spanish tomato tango,21169,0.962,16.7,False,
2025-W00,2025-01-01,India,Lay's,lays max peri peri,max peri peri,22305,1.239,25.9,False,
2025-W00,2025-01-01,India,Lay's,buy lays online,buy  online,31590,1.019,0.8,False,
2025-W00,2025-01-01,India,Lay's,lays price,price,25881,0.924,11.0,False,
2025-W00,2025-01-01,India,Pringles,pringles chips,chips,46194,1.216,4.2,False,
2025-W00,2025-01-01,India,Pringles,pringles original,original,27010,1.228,-10.7,False,
2025-W00,2025-01-01,India,Pringles,pringles sour cream onion,sour cream onion,21114,1.173,-0.8,False,
2025-W00,2025-01-01,India,Pringles,pringles price india,price india,17076,1.067,12.3,False,
2025-W00,2025-01-01,India,Pringles,pringles cheddar,cheddar,13501,1.227,12.0,False,
2025-W00,2025-01-01,India,Doritos,doritos nacho cheese,nacho cheese,29721,1.025,12.0,False,
2025-W00,2025-01-01,India,Doritos,doritos cool ranch,cool ranch,18248,1.073,-13.0,False,
2025-W00,2025-01-01,India,Doritos,doritos flamin hot,flamin hot,25691,1.223,22.5,False,
2025-W00,2025-01-01,India,Doritos,doritos sweet chili,sweet chili,12389,1.032,-2.9,False,
2025-W00,2025-01-01,India,Doritos,doritos controversy,controversy,815,0.204,4.6,False,
2025-W00,2025-01-01,India,category,best chips brand india,best chips brand india,54608,1.138,-5.0,False,
2025-W00,2025-01-01,India,category,healthy snacks india,healthy snacks india,73676,1.038,-9.8,False,
2025-W00,2025-01-01,India,category,chips on offer today,chips on offer today,47266,1.212,19.5,False,
2025-W00,2025-01-01,India,category,snacks for ipl party,snacks for ipl party,20494,0.932,-2.3,False,
2025-W00,2025-01-01,US,Lay's,lays chips,chips,81101,1.193,-2.9,False,
2025-W00,2025-01-01,US,Lay's,lays classic,classic,75862,1.379,13.2,False,
2025-W00,2025-01-01,US,Lay's,lays sour cream onion,sour cream onion,41414,1.428,-3.3,False,
2025-W00,2025-01-01,US,Lay's,lays baked,baked,33921,1.413,5.8,False,
2025-W00,2025-01-01,US,Lay's,lays chile limon,chile limon,24098,1.268,24.5,False,
2025-W00,2025-01-01,US,Lay's,buy lays bulk,buy  bulk,22303,1.239,13.2,False,
2025-W00,2025-01-01,US,Pringles,pringles chips,chips,74131,1.196,14.3,False,
2025-W00,2025-01-01,US,Pringles,pringles sour cream,sour cream,52135,1.533,-4.3,False,
2025-W00,2025-01-01,US,Pringles,pringles original,original,43200,1.543,9.0,False,
2025-W00,2025-01-01,US,Pringles,pringles bbq,bbq,27715,1.32,31.2,False,
2025-W00,2025-01-01,US,Pringles,pringles price drop,price drop,14196,1.291,5.0,False,
2025-W00,2025-01-01,US,Doritos,doritos nacho cheese,nacho cheese,67701,1.167,-6.2,False,
2025-W00,2025-01-01,US,Doritos,doritos cool ranch,cool ranch,67521,1.407,24.7,False,
2025-W00,2025-01-01,US,Doritos,doritos flamin hot,flamin hot,61413,1.462,9.0,False,
2025-W00,2025-01-01,US,Doritos,doritos spicy nacho,spicy nacho,46077,1.486,4.7,False,
2025-W00,2025-01-01,US,Doritos,doritos controversy,controversy,2743,0.343,18.4,False,
2025-W00,2025-01-01,US,category,best chips brand,best chips brand,74491,1.433,13.8,False,
2025-W00,2025-01-01,US,category,healthy chip snacks,healthy chip snacks,130876,1.487,12.6,False,
2025-W00,2025-01-01,US,category,chips on sale near me,chips on sale near me,80648,1.28,13.5,False,
2025-W00,2025-01-01,US,category,super bowl snack ideas,super bowl snack ideas,54926,1.248,39.8,False,
2025-W01,2025-01-08,India,Lay's,lays chips,chips,66993,0.905,-0.5,False,
2025-W01,2025-01-08,India,Lay's,lays magic masala,magic masala,60321,1.183,-4.8,False,
2025-W01,2025-01-08,India,Lay's,lays classic salted,classic salted,36557,0.962,3.2,False,
2025-W01,2025-01-08,India,Lay's,lays american cream onion,american cream onion,28819,0.994,16.4,False,
2025-W01,2025-01-08,India,Lay's,lays spanish tomato tango,spanish tomato tango,22171,1.008,5.2,False,
2025-W01,2025-01-08,India,Lay's,lays max peri peri,max peri peri,17451,0.97,-6.0,False,
2025-W01,2025-01-08,India,Lay's,buy lays online,buy  online,32530,1.049,3.1,False,
2025-W01,2025-01-08,India,Lay's,lays price,price,33305,1.189,13.7,False,
2025-W01,2025-01-08,India,Pringles,pringles chips,chips,45789,1.205,11.6,False,
2025-W01,2025-01-08,India,Pringles,pringles original,original,22375,1.017,14.1,False,
2025-W01,2025-01-08,India,Pringles,pringles sour cream onion,sour cream onion,19932,1.107,-4.7,False,
2025-W01,2025-01-08,India,Pringles,pringles price india,price india,17594,1.1,-0.4,False,
2025-W01,2025-01-08,India,Pringles,pringles cheddar,cheddar,9899,0.9,15.6,False,
2025-W01,2025-01-08,India,Doritos,doritos nacho cheese,nacho cheese,30567,1.054,31.4,False,
2025-W01,2025-01-08,India,Doritos,doritos cool ranch,cool ranch,18118,1.066,2.7,False,
2025-W01,2025-01-08,India,Doritos,doritos flamin hot,flamin hot,19021,0.906,4.3,False,
2025-W01,2025-01-08,India,Doritos,doritos sweet chili,sweet chili,13846,1.154,-8.0,False,
2025-W01,2025-01-08,India,Doritos,doritos controversy,controversy,1806,0.452,12.8,False,
2025-W01,2025-01-08,India,category,best chips brand india,best chips brand india,55829,1.163,20.9,False,
2025-W01,2025-01-08,India,category,healthy snacks india,healthy snacks india,78323,1.103,-7.8,False,
2025-W01,2025-01-08,India,category,chips on offer today,chips on offer today,42461,1.089,13.2,False,
2025-W01,2025-01-08,India,category,snacks for ipl party,snacks for ipl party,21222,0.965,5.4,False,
2025-W01,2025-01-08,US,Lay's,lays chips,chips,102471,1.507,-4.2,False,
2025-W01,2025-01-08,US,Lay's,lays classic,classic,71009,1.291,-2.4,False,
2025-W01,2025-01-08,US,Lay's,lays sour cream onion,sour cream onion,38915,1.342,-2.5,False,
2025-W01,2025-01-08,US,Lay's,lays baked,baked,35793,1.491,11.1,False,
2025-W01,2025-01-08,US,Lay's,lays chile limon,chile limon,26775,1.409,4.0,False,
2025-W01,2025-01-08,US,Lay's,buy lays bulk,buy  bulk,25982,1.443,20.9,False,
2025-W01,2025-01-08,US,Pringles,pringles chips,chips,77241,1.246,16.9,False,
2025-W01,2025-01-08,US,Pringles,pringles sour cream,sour cream,47927,1.41,17.3,False,
2025-W01,2025-01-08,US,Pringles,pringles original,original,42721,1.526,0.1,False,
2025-W01,2025-01-08,US,Pringles,pringles bbq,bbq,28392,1.352,10.1,False,
2025-W01,2025-01-08,US,Pringles,pringles price drop,price drop,15484,1.408,30.0,False,
2025-W01,2025-01-08,US,Doritos,doritos nacho cheese,nacho cheese,85423,1.473,-6.2,False,
2025-W01,2025-01-08,US,Doritos,doritos cool ranch,cool ranch,69776,1.454,11.7,False,
2025-W01,2025-01-08,US,Doritos,doritos flamin hot,flamin hot,57642,1.372,24.8,False,
2025-W01,2025-01-08,US,Doritos,doritos spicy nacho,spicy nacho,46750,1.508,5.2,False,
2025-W01,2025-01-08,US,Doritos,doritos controversy,controversy,5391,0.674,8.0,False,
2025-W01,2025-01-08,US,category,best chips brand,best chips brand,82989,1.596,-9.1,False,
2025-W01,2025-01-08,US,category,healthy chip snacks,healthy chip snacks,108623,1.234,-12.4,False,
2025-W01,2025-01-08,US,category,chips on sale near me,chips on sale near me,87086,1.382,3.6,False,
2025-W01,2025-01-08,US,category,super bowl snack ideas,super bowl snack ideas,61171,1.39,8.3,False,
2025-W02,2025-01-15,India,Lay's,lays chips,chips,86267,1.166,10.4,False,
2025-W02,2025-01-15,India,Lay's,lays magic masala,magic masala,48302,0.947,-10.4,False,
2025-W02,2025-01-15,India,Lay's,lays classic salted,classic salted,38083,1.002,16.5,False,
2025-W02,2025-01-15,India,Lay's,lays american cream onion,american cream onion,35927,1.239,17.2,False,
2025-W02,2025-01-15,India,Lay's,lays spanish tomato tango,spanish tomato tango,23454,1.066,3.4,False,
2025-W02,2025-01-15,India,Lay's,lays max peri peri,max peri peri,18724,1.04,12.8,False,
2025-W02,2025-01-15,India,Lay's,buy lays online,buy  online,33785,1.09,-2.6,False,
2025-W02,2025-01-15,India,Lay's,lays price,price,31284,1.117,13.4,False,
2025-W02,2025-01-15,India,Pringles,pringles chips,chips,36084,0.95,14.1,False,
2025-W02,2025-01-15,India,Pringles,pringles original,original,20510,0.932,-4.8,False,
2025-W02,2025-01-15,India,Pringles,pringles sour cream onion,sour cream onion,22173,1.232,8.9,False,
2025-W02,2025-01-15,India,Pringles,pringles price india,price india,18117,1.132,-16.1,False,
2025-W02,2025-01-15,India,Pringles,pringles cheddar,cheddar,10952,0.996,-17.8,False,
2025-W02,2025-01-15,India,Doritos,doritos nacho cheese,nacho cheese,27392,0.945,19.4,False,
2025-W02,2025-01-15,India,Doritos,doritos cool ranch,cool ranch,15776,0.928,-5.8,False,
2025-W02,2025-01-15,India,Doritos,doritos flamin hot,flamin hot,22646,1.078,-11.8,False,
2025-W02,2025-01-15,India,Doritos,doritos sweet chili,sweet chili,12158,1.013,3.2,False,
2025-W02,2025-01-15,India,Doritos,doritos controversy,controversy,1557,0.389,26.3,False,
2025-W02,2025-01-15,India,category,best chips brand india,best chips brand india,54952,1.145,6.1,False,
2025-W02,2025-01-15,India,category,healthy snacks india,healthy snacks india,77788,1.096,7.0,False,
2025-W02,2025-01-15,India,category,chips on offer today,chips on offer today,46808,1.2,12.4,False,
2025-W02,2025-01-15,India,category,snacks for ipl party,snacks for ipl party,23567,1.071,15.4,False,
2025-W02,2025-01-15,US,Lay's,lays chips,chips,92445,1.359,-6.9,False,
2025-W02,2025-01-15,US,Lay's,lays classic,classic,71287,1.296,22.0,False,
2025-W02,2025-01-15,US,Lay's,lays sour cream onion,sour cream onion,35700,1.231,-2.8,False,
2025-W02,2025-01-15,US,Lay's,lays baked,baked,32643,1.36,-9.0,False,
2025-W02,2025-01-15,US,Lay's,lays chile limon,chile limon,25213,1.327,-5.6,False,
2025-W02,2025-01-15,US,Lay's,buy lays bulk,buy  bulk,24805,1.378,-1.8,False,
2025-W02,2025-01-15,US,Pringles,pringles chips,chips,87543,1.412,-11.6,False,
2025-W02,2025-01-15,US,Pringles,pringles sour cream,sour cream,43957,1.293,11.3,False,
2025-W02,2025-01-15,US,Pringles,pringles original,original,34035,1.216,12.0,False,
2025-W02,2025-01-15,US,Pringles,pringles bbq,bbq,31585,1.504,7.5,False,
2025-W02,2025-01-15,US,Pringles,pringles price drop,price drop,17123,1.557,7.5,False,
2025-W02,2025-01-15,US,Doritos,doritos nacho cheese,nacho cheese,80169,1.382,3.5,False,
2025-W02,2025-01-15,US,Doritos,doritos cool ranch,cool ranch,74086,1.543,14.6,False,
2025-W02,2025-01-15,US,Doritos,doritos flamin hot,flamin hot,64060,1.525,22.6,False,
2025-W02,2025-01-15,US,Doritos,doritos spicy nacho,spicy nacho,40747,1.314,9.6,False,
2025-W02,2025-01-15,US,Doritos,doritos controversy,controversy,4486,0.561,13.1,False,
2025-W02,2025-01-15,US,category,best chips brand,best chips brand,80982,1.557,19.6,False,
2025-W02,2025-01-15,US,category,healthy chip snacks,healthy chip snacks,102300,1.163,1.9,False,
2025-W02,2025-01-15,US,category,chips on sale near me,chips on sale near me,75810,1.203,18.2,False,
2025-W02,2025-01-15,US,category,super bowl snack ideas,super bowl snack ideas,54795,1.245,2.7,False,
2025-W03,2025-01-22,India,Lay's,lays chips,chips,89934,1.215,23.6,False,
2025-W03,2025-01-22,India,Lay's,lays magic masala,magic masala,61884,1.213,13.2,False,
2025-W03,2025-01-22,India,Lay's,lays classic salted,classic salted,44122,1.161,-17.4,False,
